cuisine,meal,full_name,ingredients,weights_g
Eastern European Foods,"Warm Zucchini and onions, raw SautâÂ©","Warm Zucchini and onions, raw SautâÂ© (Eastern European Foods)","Zucchini|onions, raw|Garlic|Olive Oil|Salt|Black Pepper",500.0|250.0|10.0|80.0|5.0|5.0
Eastern European Foods,Beet and Radish Salad,Beet and Radish Salad (Eastern European Foods),red beets|Radishes|Olive Oil|Salt|fresh dill|Lemon Juice,400.0|250.0|40.0|5.0|5.0|50.0
Eastern European Foods,Pan-Fried Pumpkin Slices,Pan-Fried Pumpkin Slices (Eastern European Foods),Pumpkin|Olive Oil|Garlic|Salt|Sage,600.0|100.0|10.0|5.0|5.0
Indian Foods,Tomato Rasam,Tomato Rasam (Indian Foods),"Tomato, fresh juice|Garlic|Tamarind paste|Black pepper|Water",50.0|2.0|5.0|1.0|92.0
Indian Foods,Vegetable Stew,Vegetable Stew (Indian Foods),"Potatoes, boiled|Carrots|Green beans|Coconut cream|Raw Ginger (Fresh)",60.0|40.0|30.0|30.0|2.0
Indian Foods,Sambar ,Sambar  (Indian Foods),"Eggplant, cooked|Tomatoes, cooked|Onion, raw|Tamarind paste|Water",30.0|30.0|20.0|5.0|65.0
Indian Foods,Masala Dosa ,Masala Dosa  (Indian Foods),"Potatoes, boiled|Onions|Mustard|Turmeric|Green chili",70.0|40.0|3.0|2.0|5.0
Indian Foods,Dosa Base,Dosa Base (Indian Foods),Cream of Rice|Water|Salt,60.0|60.0|100.0
Indian Foods,Lemon Rice,Lemon Rice (Indian Foods),"Rice, long-grain|Lemon juice|Mustard|Curry leaves|Turmeric|Rice|Lemon juice|Cumin|Mustard|Oil",50.0|10.0|5.0|2.0|2.0|100.0|20.0|2.0|2.0|10.0
Indian Foods,Upma,Upma (Indian Foods),Cream of Wheat regular|Green bell pepper|Onions|Raw Ginger (Fresh)|Mustard,60.0|30.0|20.0|2.0|3.0
Indian Foods,Coconut Chutney,Coconut Chutney (Indian Foods),Coconut cream|Green chili|Raw Ginger (Fresh)|Water,25.0|5.0|3.0|17.0
Indian Foods,Vegetable Kurma,Vegetable Kurma (Indian Foods),"Potatoes, boiled|Carrots, cooked|Green beans|Coconut cream|Turmeric",50.0|40.0|30.0|30.0|1.0
Indian Foods,Aloo Tamatar Curry,Aloo Tamatar Curry (Indian Foods),Potatoes|Tomato|Garlic|Cumin|Potatoes|Tomato|Garlic|Cumin,100.0|40.0|3.0|2.0|100.0|40.0|3.0|2.0
Indian Foods,Bhindi Masala,Bhindi Masala (Indian Foods),Okra|Tomato|Onions|Garlic|Mustard|Okra|Tomato|Onions|Garlic|Mustard,100.0|30.0|10.0|5.0|5.0|100.0|30.0|10.0|5.0|5.0
Indian Foods,Baingan Bharta,Baingan Bharta (Indian Foods),Eggplant|Tomato|Onions|Garlic|Cilantro|Eggplant|Tomato|Onions|Garlic|Cilantro,120.0|30.0|15.0|10.0|5.0|120.0|30.0|15.0|10.0|5.0
Indian Foods,Jeera Aloo,Jeera Aloo (Indian Foods),Potatoes|Garlic|Cumin|Potatoes|Garlic|Cumin,90.0|5.0|2.0|90.0|5.0|2.0
Indian Foods,Tinda Sabzi,Tinda Sabzi (Indian Foods),Zucchini|Tomato|Garlic|Mustard|Zucchini|Tomato|Garlic|Mustard,100.0|30.0|5.0|5.0|100.0|30.0|5.0|5.0
Indian Foods,Gajar Matar,Gajar Matar (Indian Foods),Carrots|Peas|Garlic|Cumin|Carrots|Peas|Garlic|Cumin,80.0|40.0|5.0|2.0|80.0|40.0|5.0|2.0
Indian Foods,Kachumber Salad,Kachumber Salad (Indian Foods),Cucumber|Tomato|Onions|Cucumber|Tomato|Onion|Cucumber|Tomato|Onions,60.0|30.0|10.0|60.0|60.0|60.0|60.0|30.0|10.0
Indian Foods,Lauki Sabzi,Lauki Sabzi (Indian Foods),Zucchini|Tomato|Garlic|Cumin|Zucchini|Tomato|Garlic|Cumin,100.0|40.0|5.0|2.0|100.0|40.0|5.0|2.0
Indian Foods,Tamarind Potatoes,Tamarind Potatoes (Indian Foods),Potatoes|Tamarind|Garlic|Cumin|Mustard|Potatoes|Lemon juice|Garlic|Cumin|Mustard,100.0|10.0|5.0|2.0|3.0|100.0|10.0|5.0|2.0|3.0
Indian Foods,Aloo Capsicum,Aloo Capsicum (Indian Foods),Potatoes|Green bell peppers|Onions|Cumin|Potatoes|Green bell peppers|Onions|Cumin,90.0|60.0|10.0|2.0|90.0|60.0|10.0|2.0
Indian Foods,Beetroot Curry,Beetroot Curry (Indian Foods),Beet root|Tomato|Cumin|Garlic|Beet root|Tomato|Cumin|Garlic,100.0|30.0|2.0|5.0|100.0|30.0|2.0|5.0
Indian Foods,Aloo Methi,Aloo Methi (Indian Foods),Potatoes|Cilantro|Garlic|Cumin|Mustard|Potatoes|Cilantro|Garlic|Cumin|Mustard,90.0|10.0|5.0|2.0|3.0|90.0|10.0|5.0|2.0|3.0
Indian Foods,Aloo Baingan,Aloo Baingan (Indian Foods),Potatoes|Eggplant|Tomato|Garlic|Cumin|Potatoes|Eggplant|Tomato|Garlic|Cumin,80.0|60.0|20.0|5.0|2.0|80.0|60.0|20.0|5.0|2.0
Indian Foods,Simple Dahi Chawal,Simple Dahi Chawal (Indian Foods),Rice|Yogurt,150.0|100.0
Indian Foods,Bhindi Stir Fry,Bhindi Stir Fry (Indian Foods),Okra|Mustard Seeds|Oil|Turmeric,150.0|5.0|40.0|25.0
Indian Foods,Vegetable Pulao,Vegetable Pulao (Indian Foods),Basmati Rice (Cooked)|Peas|Carrot|Onion|Oil,150.0|50.0|50.0|30.0|20.0
Indian Foods,Dal-Free Rasam,Dal-Free Rasam (Indian Foods),Tomato|Tamarind Paste|Spices (Rasam Powder)|Water,100.0|20.0|30.0|100.0
Indian Foods,Chana-Free Chaat,Chana-Free Chaat (Indian Foods),Boiled Potato|Onion|Tamarind Chutney|Sev (Low Protein),120.0|40.0|30.0|10.0
Indian Foods,Coconut Rice,Coconut Rice (Indian Foods),Cooked Rice|Fresh Grated Coconut|Oil,160.0|50.0|40.0
Indian Foods,Cucumber Raita,Cucumber Raita (Indian Foods),Yogurt|Cucumber|Cumin Powder,100.0|50.0|30.0
Indian Foods,Vegetable Curry,Vegetable Curry (Indian Foods),Mixed Vegetables|Onion|Tomato|Curry Masala|Oil,200.0|30.0|30.0|20.0|20.0
Indian Foods,Tamarind Rice,Tamarind Rice (Indian Foods),Rice|Tamarind Paste|Curry Leaves|Oil,150.0|30.0|40.0|50.0
Indian Foods,Bombay Sandwich,Bombay Sandwich (Indian Foods),White Bread|Boiled Potato|Green Chutney|Tomato,120.0|40.0|20.0|20.0
Indian Foods,Jaggery Poha,Jaggery Poha (Indian Foods),Flattened PKU Rice (Poha)|Jaggery|Coconut,150.0|50.0|20.0
Indian Foods,Chilli Potato,Chilli Potato (Indian Foods),Potato|Bell Pepper|Soy-Free Sauce|Oil,150.0|40.0|30.0|20.0
Indian Foods,Masala French Fries,Masala French Fries (Indian Foods),Potato|Oil|Chaat Masala,180.0|50.0|20.0
Indian Foods,Aloo Gobhi,Aloo Gobhi (Indian Foods),Potatoes|Cauliflower|Garlic|Cumin|Turmeric|Potatoes|Cauliflower|Garlic|Cumin|Turmeric,80.0|70.0|5.0|2.0|2.0|80.0|70.0|5.0|2.0|2.0
Indian Foods,Gobhi Masala,Gobhi Masala (Indian Foods),Cauliflower|Tomato|Garlic|Mustard|Cumin|Cauliflower|Tomato|Garlic|Mustard|Cumin,100.0|30.0|5.0|2.0|3.0|100.0|30.0|5.0|2.0|3.0
Indian Foods,Vegetable Tehri,Vegetable Tehri (Indian Foods),Rice|Carrots|Peas|Potatoes|Cumin|Rice|Carrots|Peas|Potatoes|Cumin,100.0|30.0|30.0|30.0|2.0|100.0|30.0|30.0|30.0|2.0
Indian Foods,Kadhi (Mock),Kadhi (Mock) (Indian Foods),Coconut cream|Lemon juice|Garlic|Mustard|Turmeric|Coconut cream|Lemon juice|Garlic|Mustard|Turmeric,80.0|20.0|5.0|2.0|2.0|80.0|20.0|5.0|2.0|2.0
Indian Foods,Baingan Tamatar,Baingan Tamatar (Indian Foods),Eggplant|Tomato|Garlic|Cumin|Cilantro|Eggplant|Tomato|Garlic|Cumin|Cilantro,90.0|50.0|5.0|2.0|3.0|90.0|50.0|5.0|2.0|3.0
Indian Foods,Cabbage Poriyal,Cabbage Poriyal (Indian Foods),Green cabbage|Coconut|Garlic|Mustard|Cumin|Green cabbage|Coconut|Garlic|Mustard|Cumin,100.0|20.0|5.0|2.0|2.0|100.0|20.0|5.0|2.0|2.0
Indian Foods,Lauki Chana (Mock),Lauki Chana (Mock) (Indian Foods),Zucchini|Peas|Garlic|Mustard|Cumin|Zucchini|Peas|Garlic|Mustard|Cumin,100.0|40.0|5.0|3.0|2.0|100.0|40.0|5.0|3.0|2.0
Indian Foods,Bharta with Peas,Bharta with Peas (Indian Foods),Eggplant|Peas|Garlic|Cumin|Onions|Eggplant|Peas|Garlic|Cumin|Onions|Mustard,90.0|40.0|5.0|2.0|10.0|90.0|40.0|5.0|2.0|10.0|3.0
Indian Foods,Methi Aloo,Methi Aloo (Indian Foods),Potatoes|Cilantro|Garlic|Cumin|Mustard,90.0|10.0|5.0|2.0|3.0
Indian Foods,Tamarind Aloo,Tamarind Aloo (Indian Foods),Potatoes|Lemon juice|Garlic|Mustard|Cumin,100.0|20.0|5.0|2.0|2.0
Indian Foods,Palak Curry,Palak Curry (Indian Foods),Spinach|Coconut cream|Garlic|Cumin|Onions,90.0|30.0|5.0|2.0|10.0
Indian Foods,Peas Pulao,Peas Pulao (Indian Foods),Rice|Peas|Cumin|Bay leaf|Oil,100.0|40.0|2.0|1.0|10.0
Indian Foods,Chana Aloo (Mock),Chana Aloo (Mock) (Indian Foods),Potatoes|Peas|Onions|Cumin|Garlic,90.0|40.0|20.0|2.0|3.0
Indian Foods,Aloo Shimla Mirch,Aloo Shimla Mirch (Indian Foods),Potatoes|Green bell peppers|Onions|Garlic,90.0|60.0|15.0|5.0
Indian Foods,Aloo Tamatar Bhujia,Aloo Tamatar Bhujia (Indian Foods),Potatoes|Tomato|Garlic|Cumin,100.0|40.0|5.0|2.0
Indian Foods,Dry Aloo Matar,Dry Aloo Matar (Indian Foods),Potatoes|Peas|Cumin|Garlic,90.0|40.0|2.0|3.0
Indian Foods,Tindora Stir-Fry,Tindora Stir-Fry (Indian Foods),Zucchini|Cumin|Garlic|Mustard,100.0|2.0|5.0|3.0
Indian Foods,Ghee Rice,Ghee Rice (Indian Foods),Rice|Ghee|Cumin Seeds,160.0|50.0|30.0
Indian Foods,Cabbage Stir Fry,Cabbage Stir Fry (Indian Foods),Shredded Cabbage|Mustard Seeds|Oil|Turmeric,180.0|10.0|40.0|20.0
Indian Foods,Tomato Upma,Tomato Upma (Indian Foods),Semolina|Tomato|Onion|Mustard Seeds|Oil,180.0|50.0|40.0|10.0|20.0
Indian Foods,Spiced Corn,Spiced Corn (Indian Foods),Corn Kernels|Chaat Masala|Lemon Juice,150.0|30.0|20.0
Indian Foods,Fried Plantains,Fried Plantains (Indian Foods),Ripe Plantain|Oil,180.0|70.0
Indian Foods,Plain Khichdi,Plain Khichdi (Indian Foods),Rice|Ghee,150.0|40.0
Indian Foods,Potato Capsicum Fry,Potato Capsicum Fry (Indian Foods),Potato|Capsicum|Oil|Turmeric,150.0|50.0|30.0|20.0
Indian Foods,Plain Uttapam,Plain Uttapam (Indian Foods),Dosa Batter|Onion|Oil,200.0|40.0|30.0
Indian Foods,Papaya Sabzi,Papaya Sabzi (Indian Foods),Raw Papaya|Mustard Seeds|Oil|Curry Powder,180.0|10.0|40.0|20.0
Indian Foods,Malai Toast,Malai Toast (Indian Foods),PKU Bread|Fresh Cream|Sugar (table),130.0|50.0|20.0
Indian Foods,Mint Rice,Mint Rice (Indian Foods),Rice|Mint Leaves|Green Chili|Oil,160.0|30.0|20.0|50.0
Indian Foods,Rice Porridge,Rice Porridge (Indian Foods),Rice|Coconut Milk|Jaggery,170.0|70.0|30.0
Indian Foods,Sweet Suji Balls,Sweet Suji Balls (Indian Foods),Semolina|Jaggery|Coconut,150.0|50.0|20.0
Indian Foods,Jeera Aloo Rice,Jeera Aloo Rice (Indian Foods),Rice|Potato|Cumin Seeds|Oil,160.0|70.0|20.0|30.0
Indian Foods,Tomato Sevai,Tomato Sevai (Indian Foods),Rice|Tomato|Oil|Mustard Seeds,180.0|60.0|40.0|20.0
Indian Foods,Roti Roll,Roti Roll (Indian Foods),Roti|Potato|Chutney|Onion,130.0|70.0|30.0|20.0
Indian Foods,Stuffed Bell Pepper,Stuffed Bell Pepper (Indian Foods),Bell Pepper|Potato|Onion|Oil,120.0|100.0|30.0|20.0
Indian Foods,Bananass Fritters,Bananass Fritters (Indian Foods),Bananass|Oil,160.0|80.0
Indian Foods,Carrot Rice,Carrot Rice (Indian Foods),Rice|Carrots|Oil,150.0|70.0|30.0
Indian Foods,Curry Leaf Rice,Curry Leaf Rice (Indian Foods),Rice|Curry Leaves|Mustard Seeds|Oil,150.0|30.0|30.0|50.0
Indian Foods,Bread Upma,Bread Upma (Indian Foods),Bread Cubes|Onion|Tomato|Oil,180.0|50.0|50.0|20.0
Indian Foods,Masala Idli Fry,Masala Idli Fry (Indian Foods),Steamed Idli|Onion|Masala Powder|Oil,180.0|40.0|20.0|30.0
Indian Foods,Tandoori Potatoes,Tandoori Potatoes (Indian Foods),Potato|Tandoori Masala|Oil,160.0|60.0|40.0
Indian Foods,Lauki Curry,Lauki Curry (Indian Foods),Squash|Tomato|Oil|Mustard Seeds,200.0|50.0|30.0|20.0
Indian Foods,Rice Idli,Rice Idli (Indian Foods),Idli Batter|Oil,200.0|50.0
Indian Foods,Simple Sweet Rice,Simple Sweet Rice (Indian Foods),Rice|Sugar (table)|Ghee,150.0|50.0|30.0
Italian Foods,Minestrone (vegetable soup),Minestrone (vegetable soup) (Italian Foods),Carrots|Zucchini|Tomatoes|Celery|Potatoes|Onion|Olive oil,80.0|80.0|80.0|40.0|50.0|20.0|10.0
Italian Foods,Panzanella (bread salad),Panzanella (bread salad) (Italian Foods),PKU bread|Tomatoes|Cucumber|Basil|Olive oil,100.0|100.0|50.0|30.0|20.0
Italian Foods,"Risotto al Limone (lemon risotto, no cheese)","Risotto al Limone (lemon risotto, no cheese) (Italian Foods)",Low-protein rice|Vegetable broth|Lemon zest|Olive oil,150.0|150.0|30.0|20.0
Italian Foods,Pasta al Pomodoro (no cheese),Pasta al Pomodoro (no cheese) (Italian Foods),Pasta|Tomatoes|Garlic|Olive oil,150.0|150.0|30.0|20.0
Italian Foods,Caponata (eggplant stew),Caponata (eggplant stew) (Italian Foods),Eggplant|Tomatoes|Celery|Onion|Capers|Olive oil|Vinegar,150.0|80.0|30.0|30.0|10.0|30.0|20.0
Italian Foods,Focaccia (plain),Focaccia (plain) (Italian Foods),Flour|Water|Olive oil,150.0|80.0|20.0
Italian Foods,Polenta,Polenta (Italian Foods),Cornmeal|Water,200.0|100.0
Italian Foods,Verdure Grigliate (grilled vegetables),Verdure Grigliate (grilled vegetables) (Italian Foods),Zucchini|Peppers|Eggplant|Olive oil|Salt,67.0|67.0|67.0|50.0|10.0
Italian Foods,Bruschetta (no cheese),Bruschetta (no cheese) (Italian Foods),PKU Bread|Tomatoes|Basil,100.0|80.0|20.0
Italian Foods,Ribollita (Tuscan vegetable soup),Ribollita (Tuscan vegetable soup) (Italian Foods),Cabbage|Beans (low protein option)|Carrots|Celery|Tomatoes|Onion|Olive oil,80.0|50.0|60.0|40.0|40.0|30.0|20.0
Italian Foods,Pomodori al Forno (baked tomatoes),Pomodori al Forno (baked tomatoes) (Italian Foods),Tomatoes|Olive oil|Garlic,200.0|30.0|20.0
Italian Foods,Cicoria Ripassata (sautÃ©ed chicory),Cicoria Ripassata (sautÃ©ed chicory) (Italian Foods),Chicory|Garlic|Olive oil,200.0|40.0|30.0
Italian Foods,Ribollita (without beans),Ribollita (without beans) (Italian Foods),Cabbage|Carrots|Celery|Tomatoes|Olive oil,120.0|60.0|40.0|30.0|20.0
Italian Foods,Patate al Rosmarino,Patate al Rosmarino (Italian Foods),Potatoes|Rosemary|Olive oil,250.0|30.0|20.0
Italian Foods,Insalata di Finocchi,Insalata di Finocchi (Italian Foods),Fennel|Lemon juice|Olive oil,150.0|50.0|20.0
Italian Foods,Verdure al Vapore,Verdure al Vapore (Italian Foods),Broccoli|Carrots|Cauliflower|Olive oil,100.0|100.0|80.0|20.0
Italian Foods,Pomodori e Cipolle,Pomodori e Cipolle (Italian Foods),Tomatoes|Onions|Olive oil,150.0|70.0|20.0
Italian Foods,Melanzane alla Griglia,Melanzane alla Griglia (Italian Foods),Eggplant|Olive oil,250.0|30.0
Italian Foods,Zuppa di Verdure,Zuppa di Verdure (Italian Foods),Mixed vegetables|Vegetable broth|Olive oil,250.0|80.0|20.0
Italian Foods,Insalata di Rucola,Insalata di Rucola (Italian Foods),Arugula|Lemon juice|Olive oil,150.0|30.0|20.0
Italian Foods,Pasta Aglio e Olio,Pasta Aglio e Olio (Italian Foods),Spaghetti (low-protein if possible)|Garlic|Olive oil|Parsley,150.0|30.0|50.0|20.0
Italian Foods,Fagiolini lessati,Fagiolini lessati (Italian Foods),Green beans|Olive oil,200.0|30.0
Italian Foods,Patate Bollite,Patate Bollite (Italian Foods),Boiled potatoes|Olive oil,250.0|20.0
Italian Foods,Insalata di Cetrioli,Insalata di Cetrioli (Italian Foods),Cucumbers|Vinegar|Olive oil|Cucumbers|Vinegar|Olive oil,150.0|30.0|20.0|150.0|30.0|20.0
Italian Foods,Carote al Vapore,Carote al Vapore (Italian Foods),Steamed carrots|Olive oil,220.0|20.0
Italian Foods,Minestra di Zucca,Minestra di Zucca (Italian Foods),Pumpkin|Onion|Vegetable broth|Olive oil,250.0|50.0|50.0|20.0
Italian Foods,Polenta con Funghi,Polenta con Funghi (Italian Foods),Polenta|Mushrooms|Olive oil,200.0|100.0|30.0
Italian Foods,Cipolle al Forno,Cipolle al Forno (Italian Foods),Baked onions|Olive oil,220.0|30.0
Italian Foods,Zucchine trifolate,Zucchine trifolate (Italian Foods),Zucchini|Garlic|Olive oil,200.0|20.0|30.0
Italian Foods,Radicchio alla Griglia,Radicchio alla Griglia (Italian Foods),Grilled radicchio|Olive oil,250.0|30.0
Italian Foods,Carciofi alla Romana,Carciofi alla Romana (Italian Foods),Artichokes|Garlic|Olive oil|Parsley|Artichokes|Garlic|Olive oil|Parsley,250.0|20.0|30.0|20.0|250.0|20.0|30.0|20.0
Italian Foods,Finocchi al Forno,Finocchi al Forno (Italian Foods),Fennel|Olive oil|Lemon juice|Fennel|Olive oil|Lemon juice,250.0|30.0|20.0|250.0|30.0|20.0
Italian Foods,Cipolline in Agrodolce,Cipolline in Agrodolce (Italian Foods),Pearl onions|Vinegar|Sugar|Olive oil,200.0|20.0|20.0|20.0
Italian Foods,Cavolfiore al Vapore,Cavolfiore al Vapore (Italian Foods),Steamed cauliflower|Olive oil,270.0|30.0
Italian Foods,Zuppa di Lenticchie (without legumes if strict PKU),Zuppa di Lenticchie (without legumes if strict PKU) (Italian Foods),Lentils|Carrots|Celery|Onion|Olive oil,100.0|100.0|80.0|50.0|20.0
Italian Foods,Fagioli Lessati (green beans),Fagioli Lessati (green beans) (Italian Foods),Green beans|Olive oil,220.0|30.0
Italian Foods,Pomodori Secchi,Pomodori Secchi (Italian Foods),Sun-dried tomatoes|Olive oil,150.0|50.0
Italian Foods,Broccoli Saltati,Broccoli Saltati (Italian Foods),Broccoli|Garlic|Olive oil,250.0|20.0|30.0
Italian Foods,Peperoni Arrostiti,Peperoni Arrostiti (Italian Foods),Roasted red peppers|Olive oil,280.0|20.0
Italian Foods,Zucchini alla Scapece,Zucchini alla Scapece (Italian Foods),Zucchini|Vinegar|Olive oil,250.0|30.0|20.0
Italian Foods,Insalata di Pomodori,Insalata di Pomodori (Italian Foods),Tomatoes|Basil|Olive oil,150.0|30.0|20.0
Italian Foods,Brodetto di Verdure,Brodetto di Verdure (Italian Foods),Mixed vegetables|Tomato broth|Olive oil,250.0|80.0|20.0
Italian Foods,Patate al Forno,Patate al Forno (Italian Foods),Roasted potatoes|Olive oil,270.0|30.0
Italian Foods,Insalata di Radicchio,Insalata di Radicchio (Italian Foods),Radicchio|Balsamic vinegar|Olive oil,150.0|30.0|20.0
Italian Foods,Zucca al Forno,Zucca al Forno (Italian Foods),Roasted pumpkin|Olive oil,270.0|30.0
Italian Foods,Cicoria Ripassata,Cicoria Ripassata (Italian Foods),Chicory|Garlic|Olive oil,250.0|20.0|30.0
Italian Foods,Peperonata,Peperonata (Italian Foods),Bell peppers|Tomatoes|Olive oil|Onion,250.0|30.0|20.0|10.0
Italian Foods,Fagioli all'Uccelletto,Fagioli all'Uccelletto (Italian Foods),Cannellini beans (small amount)|Sage|Garlic|Olive oil|Tomato sauce|Onion,100.0|10.0|30.0|30.0|50.0|30.0
Italian Foods,Insalata di Carote,Insalata di Carote (Italian Foods),Carrots|Lemon juice|Olive oil,150.0|20.0|30.0
Italian Foods,Zucchine al Forno,Zucchine al Forno (Italian Foods),Zucchini|Olive oil,250.0|30.0
Italian Foods,Patate e Cipolle,Patate e Cipolle (Italian Foods),Potatoes|Onions|Olive oil,200.0|70.0|30.0
Italian Foods,Fave e Cicoria,Fave e Cicoria (Italian Foods),Fava beans|Chicory|Olive oil,100.0|150.0|50.0
Italian Foods,Spinaci Saltati,Spinaci Saltati (Italian Foods),Spinach|Olive oil,250.0|30.0
Italian Foods,Pomodori Ripieni (without cheese),Pomodori Ripieni (without cheese) (Italian Foods),Tomatoes|Breadcrumbs|Olive oil,250.0|30.0|20.0
Italian Foods,Insalata di Radicchio e Arance,Insalata di Radicchio e Arance (Italian Foods),Radicchio|Oranges|Olive oil|Balsamic vinegar,150.0|60.0|20.0|20.0
Italian Foods,Broccoli al Forno,Broccoli al Forno (Italian Foods),Broccoli|Olive oil,270.0|30.0
Italian Foods,Carciofi alla Giudia,Carciofi alla Giudia (Italian Foods),Artichokes|Olive oil,270.0|30.0
Italian Foods,Insalata di Finocchi e Arance,Insalata di Finocchi e Arance (Italian Foods),Fennel|Oranges|Olive oil,150.0|80.0|20.0
Italian Foods,Cavolfiore al Forno,Cavolfiore al Forno (Italian Foods),Cauliflower|Olive oil,270.0|30.0
Italian Foods,Cicoria Lessata,Cicoria Lessata (Italian Foods),Boiled chicory|Olive oil,270.0|30.0
Italian Foods,Insalata di Pomodorini,Insalata di Pomodorini (Italian Foods),Cherry tomatoes|Basil|Olive oil,150.0|30.0|20.0
Italian Foods,Funghi trifolati,Funghi trifolati (Italian Foods),Mushrooms|Garlic|Olive oil,250.0|20.0|30.0
Italian Foods,Insalata di Cetrioli e Menta,Insalata di Cetrioli e Menta (Italian Foods),Cucumbers|Mint|Olive oil,150.0|30.0|20.0
Italian Foods,Insalata di Carote e Limone,Insalata di Carote e Limone (Italian Foods),Carrots|Lemon juice|Olive oil,150.0|30.0|20.0
Italian Foods,Zucchine Ripiene (without cheese),Zucchine Ripiene (without cheese) (Italian Foods),Zucchini|Breadcrumbs|Olive oil,250.0|30.0|20.0
Italian Foods,Carciofi Grigliati,Carciofi Grigliati (Italian Foods),Artichokes|Olive oil,250.0|30.0
Italian Foods,Funghi al Forno,Funghi al Forno (Italian Foods),Mushrooms|Garlic|Olive oil,250.0|20.0|30.0
Italian Foods,Patate e Rosmarino,Patate e Rosmarino (Italian Foods),Potatoes|Olive oil|Rosemary,250.0|30.0|20.0
Italian Foods,Cavolfiore Gratinate,Cavolfiore Gratinate (Italian Foods),Cauliflower|Olive oil|Breadcrumbs,270.0|30.0|20.0
Italian Foods,Finocchi al Limone,Finocchi al Limone (Italian Foods),Fennel|Lemon juice|Olive oil,250.0|30.0|20.0
Japanese Foods,Stir-Fried Baby Bok Choy,Stir-Fried Baby Bok Choy (Japanese Foods),Baby bok choy|garlic|vegetable oil|water|salt|sesame oil,120.0|3.0|5.0|20.0|1.0|1.0
Japanese Foods,Garlic Snow Peas,Garlic Snow Peas (Japanese Foods),peas|garlic|vegetable oil|water|salt,100.0|4.0|5.0|20.0|1.0
Japanese Foods,sweet and sour bell peppers,sweet and sour bell peppers (Japanese Foods),pepper|rice vinegar|sugar|cornstarch|water|oil salt,120.0|10.0|8.0|20.0|5.0|1.0
Japanese Foods,steamed eggplant with garlic sauce,steamed eggplant with garlic sauce (Japanese Foods),chinese eggplant|garlic|rice vinegar|sugar|oil|salt|water,120.0|4.0|10.0|5.0|5.0|1.0|25.0
Japanese Foods,cucumber sesame salad,cucumber sesame salad (Japanese Foods),cucumber|rice vinegar|sugar|sesame oil|salt|water,100.0|10.0|5.0|3.0|1.0|20.0
Japanese Foods,vegetable stir-fry,vegetable stir-fry (Japanese Foods),cabbage|carrot|zucchini|cornstarch|water|oil|garlic|salt,80.0|40.0|40.0|40.0|10.0|5.0|3.0|2.0
Japanese Foods,sauteed water spinach,sauteed water spinach (Japanese Foods),spinach|garlic|oil|salt|water,100.0|4.0|5.0|1.0|40.0
Japanese Foods,scallion oil rice,scallion oil rice (Japanese Foods),low-protein rice|scallions|oil|salt|water,100.0|10.0|6.0|1.0|23.0
Japanese Foods,spicy pickled cucumber,spicy pickled cucumber (Japanese Foods),cucumber|vinegar|sugar|chili flakes|sesame oil|salt|water,100.0|10.0|5.0|2.0|3.0|1.0|9.0
Japanese Foods,japanese veggie hot pot,japanese veggie hot pot (Japanese Foods),cabbage|carrot|mushroom|daikon|squash|water|garlic,90.0|30.0|10.0|5.0|5.0|1.0|9.0
Japanese Foods,Cucumber Sunomono Salad,Cucumber Sunomono Salad (Japanese Foods),"Cucumber, sliced|Rice Vinegar|Sugar (table)",150.0|30.0|15.0
Japanese Foods,Steamed Eggplant,Steamed Eggplant (Japanese Foods),"Eggplant, cooked|Rice Vinegar|Sugar (table)",150.0|20.0|10.0
Japanese Foods,Garlic Komatsuna Stir-Fry,Garlic Komatsuna Stir-Fry (Japanese Foods),Komatsuna|Garlic|Olive Oil|Salt,150.0|10.0|20.0|5.0
Japanese Foods,Daikon & Carrot Pickles,Daikon & Carrot Pickles (Japanese Foods),Daikon|Carrots|Rice Vinegar|Sugar (table),90.0|60.0|20.0|10.0
Japanese Foods,Peas Garlic Saute,Peas Garlic Saute (Japanese Foods),Peas|Garlic|Olive Oil,140.0|20.0|20.0
Japanese Foods,Pumpkin Soup,Pumpkin Soup (Japanese Foods),Pumpkin|Water|Garlic,120.0|50.0|10.0
Japanese Foods,Chilled Okra Salad,Chilled Okra Salad (Japanese Foods),Okra|Soy Sauce|Rice Vinegar|Garlic,130.0|20.0|20.0|10.0
Japanese Foods,Scallion Oil Rice,Scallion Oil Rice (Japanese Foods),Rice|Scallions|Olive Oil|Salt,150.0|30.0|15.0|5.0
Japanese Foods,Spicy Pickled Cucumber,Spicy Pickled Cucumber (Japanese Foods),"Cucumber, sliced|Rice Vinegar|Chili Flakes|Salt",130.0|30.0|10.0|10.0
Japanese Foods,Daikon Wakame Salad,Daikon Wakame Salad (Japanese Foods),Daikon|Seaweed paper|Rice Vinegar,110.0|30.0|30.0
Japanese Foods,Zucchini Garlic Stir-Fry,Zucchini Garlic Stir-Fry (Japanese Foods),Zucchini|Garlic|Olive Oil|Salt,150.0|20.0|20.0|10.0
Japanese Foods,Sauteed Water Spinach,Sauteed Water Spinach (Japanese Foods),Water Spinach|Garlic|Olive Oil,140.0|20.0|20.0
Japanese Foods,Sweet and Sour Cabbage,Sweet and Sour Cabbage (Japanese Foods),Green Cabbage|Rice Vinegar|Sugar (table)|Salt,150.0|30.0|15.0|5.0
